time_created,Blog,Bookmark,Comment,Discussion,Discussion Reply,File,Idea,mission_accepted,mission_applied,mission_offered,user
2009-05-01,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2009-05-04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2009-05-05,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-05-07,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2009-05-08,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-12,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2009-05-13,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0
2009-05-14,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
2009-05-15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
2009-05-16,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-19,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
2009-05-20,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2009-05-21,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,11.0
2009-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2009-05-25,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0
2009-05-26,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0
2009-05-27,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
2009-05-28,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
2009-05-29,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2009-06-01,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
2009-06-02,1.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0
2009-06-03,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2009-06-04,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0
2009-06-05,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0
2009-06-08,1.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0
2009-06-09,0.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,23.0
2009-06-10,0.0,4.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,24.0
2009-06-11,1.0,5.0,1.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,28.0
2009-06-12,2.0,3.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,27.0
2009-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2009-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-06-15,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,28.0
2009-06-16,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0
2009-06-17,2.0,7.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,38.0
2009-06-18,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,39.0
2009-06-19,3.0,19.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,19.0
2009-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2009-06-22,0.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,14.0
2009-06-23,1.0,2.0,1.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,20.0
2009-06-24,0.0,1.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,20.0
2009-06-25,3.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0
2009-06-26,1.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,21.0
2009-06-29,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0
